Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,93.10,93.84,0.00099
50,91.97,93.20,0.00099
40,92.33,93.87,0.00099
50,94.26,94.96,0.00100
30,90.53,92.98,0.00099
30,92.76,93.47,0.00099
40,92.83,93.63,0.00099
50,94.08,94.38,0.00097
20,90.69,91.67,0.00097
30,90.75,92.98,0.00099
40,90.49,93.42,0.00099
40,91.89,93.87,0.00099
20,86.84,87.54,0.00097
10,87.30,90.07,0.00099
30,88.55,89.60,0.00099
20,92.17,93.40,0.00099
10,85.75,89.81,0.00099
20,88.01,89.68,0.00099
10,87.99,90.50,0.00099
10,80.36,82.88,0.00096
30,86.90,87.65,0.00100
40,90.66,91.74,0.00099
50,93.06,94.03,0.00099
40,92.29,93.05,0.00099
50,92.85,94.80,0.00099
20,86.33,87.86,0.00099
40,91.35,91.68,0.00096
10,83.88,86.68,0.00099
20,92.67,93.95,0.00099
10,84.49,88.53,0.00099
20,92.79,92.98,0.00097
50,91.07,93.55,0.00099
50,93.54,94.33,0.00100
30,91.98,92.37,0.00099
30,91.52,92.96,0.00099
10,77.87,79.30,0.00096
20,85.32,88.61,0.00099
40,90.09,90.91,0.00097
30,92.16,93.00,0.00099
10,76.20,80.79,0.00099
20,89.98,90.64,0.00099
30,87.80,88.54,0.00099
10,85.10,89.70,0.00099
50,93.83,94.35,0.00100
40,87.12,87.91,0.00099
50,92.49,93.54,0.00099
20,88.63,89.76,0.00099
40,91.41,92.46,0.00099
20,85.86,88.68,0.00099
30,90.96,91.44,0.00097
40,90.52,91.54,0.00099
30,92.47,93.70,0.00099
10,84.66,86.22,0.00099
10,76.68,82.43,0.00099
50,93.28,93.79,0.00099
50,89.80,91.94,0.00099
40,89.42,89.92,0.00099
20,86.48,90.53,0.00099
30,92.33,93.35,0.00099
10,80.09,85.95,0.00099
